,CaO+MgO,Fe2O3*,MgO,CaO,S,Zn,Pb,Cu,Type de roche
41,0.00013576997041143921,1.293202018577147e-06,5.713615502898316e-05,7.863381538245606e-05,0.0010666094483209546,0.00018020426759143273,1.8254470289433995e-05,3.885307617474422e-06,R. carbonatées
42,0.00013576219061600358,2.1406541850452293e-07,5.708358556354564e-05,7.867860505245793e-05,0.0001784388147547078,2.1362718947052343e-05,1.5242438687676049e-05,2.866858386833864e-06,R. carbonatées
43,0.00013566490927374394,5.719616917914444e-07,5.83160395529113e-05,7.734886972083264e-05,0.0003243191986623148,2.664326277857242e-05,3.054899876170864e-05,6.408511543017398e-06,R. carbonatées
44,0.00013549785275168873,8.977282110317997e-08,5.6519451135027846e-05,7.897840161666088e-05,0.00022957084189016607,1.3029537675606644e-05,3.054899876170864e-05,6.408511543017398e-06,R. carbonatées
45,0.00013524700274100899,1.660630634865345e-07,5.660288387177375e-05,7.864411886923522e-05,0.00025352585542361107,5.542062048904428e-06,3.054899876170864e-05,6.408511543017398e-06,R. carbonatées
46,0.00013438988896778218,5.346574287566403e-07,5.597391529591654e-05,7.841597367186566e-05,0.0006656370941836393,1.4363836762023189e-05,3.054899876170864e-05,7.886028026208809e-06,R. carbonatées
47,0.00013437310611734464,4.528401326441863e-07,5.5961827337131944e-05,7.84112787802127e-05,0.0005031066257604463,5.439213848680104e-05,3.054899876170864e-05,4.9572581912021194e-06,R. carbonatées
48,0.0001341674488242092,2.0440816129724833e-07,5.591935326291093e-05,7.824809556129828e-05,0.00040162992210067476,1.2006997382499246e-05,3.054899876170864e-05,3.6435026539997713e-06,R. carbonatées
49,0.00013400655017063213,2.1202774263605275e-07,5.6425855802518216e-05,7.758069436811391e-05,0.0010267205376664381,1.6907171412254222e-05,3.054899876170864e-05,6.408511543017398e-06,R. carbonatées
50,0.00013396270567588375,9.04584424262941e-07,5.5957700776080414e-05,7.800500489980332e-05,0.0010267205376664381,2.664326277857242e-05,1.9122506235623815e-05,4.3870139209945016e-06,R. carbonatées
51,0.00013369426922210534,4.188767543023371e-07,5.530938001309868e-05,7.838488920900665e-05,0.0007848740395909441,1.0902154118040067e-05,3.054899876170864e-05,8.997316781430837e-06,R. carbonatées
52,0.00013362192756831374,7.537691247558452e-07,5.6287278961785155e-05,7.73346486065286e-05,0.001904781157856886,3.7715672676837724e-06,3.054899876170864e-05,6.408511543017398e-06,R. carbonatées
53,0.00013361245714238704,4.4398969482440716e-07,5.5540457128716025e-05,7.807200001367101e-05,0.0002646384163010185,5.658697426251286e-06,3.0236306580936043e-05,3.520967287445245e-06,R. carbonatées
54,0.0001335405163421471,8.32042427184854e-07,5.5649123989744445e-05,7.789139235240265e-05,0.001148949248467124,2.1286792476512637e-05,3.054899876170864e-05,6.408511543017398e-06,R. carbonatées
55,0.00013293566623074414,7.153221772098829e-07,5.5981843149221846e-05,7.695382308152228e-05,0.002257605309734513,1.003952802359882e-05,3.054899876170864e-05,6.657227138643067e-06,R. carbonatées
56,0.00013246552819601735,5.125227310386578e-07,5.4276465973410675e-05,7.818906222260666e-05,0.0010267205376664381,0.00010400932430802633,9.197131627645783e-05,5.551059443405899e-06,R. carbonatées
57,0.00013238664856665767,3.907516822525588e-07,5.519827564281291e-05,7.718837292384477e-05,0.0005707488631630476,3.613374097722891e-06,3.054899876170864e-05,6.408511543017398e-06,R. carbonatées
58,0.00013211229766302467,7.335637926395083e-07,5.514654707529819e-05,7.696575058772647e-05,0.0023877285108363125,2.724356854694502e-06,3.054899876170864e-05,3.4054460683681276e-06,R. carbonatées
59,0.00013193165544123225,3.876712527716502e-07,5.513027390481472e-05,7.680138153641754e-05,0.0005068804673284608,0.00021412518318814384,4.484982317526116e-05,3.846560177032524e-06,R. carbonatées
60,0.00013177751846470354,4.89227733014782e-07,5.5031657248988384e-05,7.674586121571514e-05,0.0018018405511183385,5.646472013646436e-06,2.0980236740159742e-05,6.408511543017398e-06,R. carbonatées
61,0.0001302809472470343,5.125227310386578e-07,5.2699892976273354e-05,7.758105427076093e-05,0.0025465338101659934,1.4829138507299425e-05,3.054899876170864e-05,1.0704784359956772e-05,R. carbonatées
62,0.00013008504316205683,1.1519795894669715e-06,5.736228949945529e-05,8.022119396063429e-05,0.0010267205376664381,1.561171529187352e-05,3.463635007703407e-05,6.587602406397496e-06,R. carbonatées
63,0.00012998017035600602,6.67852571662119e-07,5.389773041228956e-05,7.608243994371645e-05,0.0010267205376664381,8.838779573641164e-06,3.054899876170864e-05,4.289407734267037e-06,R. carbonatées
64,0.0001298007315461835,2.659587991353205e-07,5.476470796123178e-05,7.503602358495172e-05,0.0005972902162493327,2.664326277857242e-05,3.054899876170864e-05,6.408511543017398e-06,R. carbonatées
65,0.0001279522994196294,2.3547593678043476e-07,5.3723395804909525e-05,7.422890361471984e-05,0.0008491474521035029,0.00017211790638945707,3.054899876170864e-05,4.690102333491632e-06,R. carbonatées
66,0.00012706737080359372,4.919050446081107e-07,5.28900614248402e-05,7.417730937875352e-05,0.0004500995318198408,7.794450397839259e-06,1.6222449712631092e-05,4.496798306445725e-06,R. carbonatées
67,0.00012605979047768223,6.673411127698011e-07,5.263714110394803e-05,7.34226493737342e-05,0.0018008203775012619,7.201804216832364e-06,3.054899876170864e-05,8.217443273052312e-06,R. carbonatées
68,0.0001237235887482025,3.515202824488642e-07,5.170448677655501e-05,7.201910197164748e-05,0.0006983606139919169,4.369464666543097e-06,3.054899876170864e-05,5.352594216515293e-06,R. carbonatées
69,0.00012325468195841598,6.980566357133942e-07,5.2911295675572604e-05,7.034338628284336e-05,0.003249874861269851,0.00011639423875007964,0.00012383061332216173,7.522541869864137e-06,R. carbonatées
70,0.00012237052911194708,4.460910776037307e-07,5.0797817327466654e-05,7.157271178448043e-05,0.002404855709397566,1.4698642247117783e-05,1.5749249897666804e-05,2.0913504405295097e-05,R. carbonatées
71,0.00012202733944644316,5.125227310386578e-07,5.136362198262544e-05,7.066371746381772e-05,0.003295834178662711,9.571373734914944e-06,3.054899876170864e-05,1.1212180660900362e-05,R. carbonatées
72,0.00011270473982723882,6.142176737670221e-07,4.753828606343446e-05,6.516645376380436e-05,0.0010267205376664381,9.371721157221702e-06,3.054899876170864e-05,4.152028360794425e-06,R. carbonatées
73,0.0001377497963593243,1.2044175757864768e-06,4.50910872159245e-05,6.352309743149237e-05,0.003211639126291076,8.998988834564035e-06,3.054899876170864e-05,1.4698348429787923e-05,R. carbonatées
74,0.0001377497963593243,7.971696996433275e-07,5.736228949945529e-05,8.022119396063429e-05,0.0011163133001124929,7.31885663686429e-06,2.2706283558394734e-05,4.8792377579095265e-06,R. carbonatées
75,0.0001377497963593243,6.514998158056164e-07,5.736228949945529e-05,8.022119396063429e-05,0.0010267205376664381,2.664326277857242e-05,3.054899876170864e-05,5.39565069478973e-06,R. carbonatées
76,0.0001249980379929728,7.068193635323224e-06,5.175424914444759e-05,7.324378884852523e-05,0.04886111799210343,1.4857009476073142e-05,4.784106191566301e-05,5.12310671588729e-06,Pyrite
77,0.00013094493676128223,6.108533916368342e-06,5.5022019526435566e-05,7.592291723484667e-05,0.04081364779202655,7.164427084781082e-05,2.0810252883434756e-05,5.0121506354435545e-06,Pyrite
78,0.00013094104182974201,2.242650258134817e-06,5.5501349379929673e-05,7.543969244981235e-05,0.01233575726213685,1.8743546874171768e-05,4.784106191566301e-05,1.0944434048103719e-05,Pyrite
79,9.747538613935508e-05,2.0987434822871144e-05,3.8359413788650754e-05,5.9115972350704333e-05,0.08471102388121245,2.9960249434601647e-05,7.487187094789126e-05,0.000573442624494909,Pyrite
80,7.620573639395285e-05,9.86678413101453e-06,2.120968471117104e-05,5.4996051682781806e-05,0.016358638231334783,3.9356758383999765e-05,6.7054519578691995e-06,0.020013378255595498,Chalcopyrites
81,8.993497564774818e-05,4.55585621479963e-05,2.5942325548898765e-05,6.399265009884941e-05,0.08393858280821694,3.788480851768062e-05,6.7054519578691995e-06,0.018306388225183576,Chalcopyrites
82,0.00013506394143501113,1.3062460258815248e-06,5.6537571416571515e-05,7.852637001843963e-05,0.006165038952381643,0.005483766249194742,0.01746292789350783,8.50379894956e-06,Galène
83,3.989141893955819e-05,0.00011812573709641347,1.455075539953271e-05,2.5340663540025478e-05,0.9273437244682593,0.039186340427804715,0.03033499092530216,0.00012020130839672296,Galène
84,0.00010837188299653805,5.2589754324688046e-06,4.5222220220118286e-05,6.314966277641977e-05,0.046412003327988206,0.0913397739566874,0.3038041732683497,0.000862821456861133,Galène
85,0.0001231617501495047,1.473398835270059e-06,5.1277148797782876e-05,7.188460135172184e-05,0.004662774692047298,0.006610377712217023,1.6594739151131903e-05,1.6187028373962714e-05,Spahlerite
86,0.00014023048732826499,1.0089726992801298e-06,5.894753709344823e-05,8.128295023481675e-05,0.0022611302116710124,0.007076640552258981,1.6069758396207388e-05,5.537560013675481e-06,Spahlerite
87,0.00012339807904266614,4.850769009142737e-06,5.167342450195575e-05,7.172465454071039e-05,0.0376137414772029,0.03577462475113679,0.015078530170824628,6.35618041047069e-05,Spahlerite
88,1.0381828861376543e-05,4.4539671621012306e-05,7.923494078255986e-06,2.4583347831205572e-06,0.009489643877026641,7.016670709030641e-05,2.0339271775099597e-05,2.4571428571428572e-05,Sédiments terrigènes
89,9.047440873226264e-06,1.913681668529921e-06,8.069712080182771e-06,9.777287930434932e-07,0.008250058122361863,7.160419932376392e-05,5.993572464328149e-05,0.0001466290217621839,Sédiments terrigènes
90,1.8423028999154912e-06,1.099933994470647e-05,1.7105120193847627e-06,1.3179088053072862e-07,0.021498053999762366,6.562548750052227e-05,3.771246896938458e-05,0.0009464888858543067,Sédiments terrigènes
91,5.705077328809979e-06,1.7007343305033813e-05,5.419612730988674e-06,2.8546459782130497e-07,0.11083237212585799,0.00020796765766037655,7.706885005452062e-05,0.0002744847283219852,Sédiments terrigènes
92,6.699683581637099e-06,9.614791617902365e-06,4.539574754169451e-06,2.160108827467649e-06,0.039339210505335356,3.101366493049264e-05,3.06609824592614e-05,1.4667112295648144e-05,Sédiments terrigènes
93,7.047189178344896e-05,8.825791996413313e-06,3.15911362243703e-05,3.8880755559078655e-05,0.0007851629839498087,0.00010531982212857239,3.771246896938458e-05,1.2133821198401625e-05,Sédiments terrigènes
94,5.949609277691538e-06,1.6541606753260765e-06,3.0683335661542946e-06,2.8812757115372437e-06,0.0005267211762737658,3.7308720594505035e-05,2.131887116359142e-05,5.568465760373887e-06,Sédiments terrigènes
95,1.3707366182741923e-06,2.78936166446741e-06,1.2006459018879111e-06,1.700907163862813e-07,0.0018642314117618575,2.903602643875748e-05,1.6951113720552985e-05,0.0008240305788925744,Sédiments terrigènes
96,1.3933571403047506e-05,1.6499170089665454e-06,7.940377669424268e-06,5.993193733623241e-06,0.0008970317955316411,2.6395508246578545e-05,3.771246896938458e-05,1.4053164112761723e-05,Sédiments terrigènes
97,0.0001377497963593243,5.125227310386578e-07,5.736228949945529e-05,8.190011265452022e-05,0.0034927351619233665,4.429210414462321e-05,7.906784231802277e-06,1.396941497779828e-05,R. carbonatées
